audio/1d-interleaved-parityfec 'IANA,RFC6015
audio/vnd.digital-winds 'IANA,[Strazds]
audio/vnd.dlna.adts 'IANA,[Heredia]
audio/vnd.dolby.heaac.1 'IANA,[Hattersley]
audio/vnd.dolby.heaac.2 'IANA,[Hattersley]
audio/vnd.dolby.mlp 'IANA,[Ward]
audio/vnd.dolby.mps 'IANA,[Hattersley]
audio/vnd.dolby.pl2 'IANA,[Hattersley]
audio/vnd.dolby.pl2x 'IANA,[Hattersley]
audio/vnd.dolby.pl2z 'IANA,[Hattersley]
audio/vnd.dolby.pulse.1 'IANA,[Hattersley]
audio/vnd.dra 'IANA,[Tian]
audio/vnd.dts 'IANA,[Zou]
audio/vnd.dts.hd 'IANA,[Zou]
audio/vnd.dvb.file 'IANA,[Siebert]
audio/vnd.everad.plj 'IANA,[Cicelsky]
audio/vnd.hns.audio 'IANA,[Swaminathan]
audio/vnd.lucent.voice 'IANA,[Vaudreuil]
audio/vnd.ms-playready.media.pya 'IANA,[DiAcetis]
audio/vnd.nokia.mobile-xmf 'IANA,[Nokia Corporation=Nokia]
audio/vnd.nortel.vbk 'IANA,[Parsons]
audio/vnd.nuera.ecelp4800 'IANA,[Fox]
audio/vnd.nuera.ecelp7470 'IANA,[Fox]
audio/vnd.nuera.ecelp9600 'IANA,[Fox]
audio/vnd.octel.sbc 'IANA,[Vaudreuil]
audio/vnd.qcelp - DEPRECATED - Please use audio/qcelp 'IANA,RFC3625
audio/vnd.rhetorex.32kadpcm 'IANA,[Vaudreuil]
audio/vnd.rip 'IANA,[Dawe]
audio/vnd.sealedmedia.softseal.mpeg 'IANA,[Petersen]
audio/vnd.vmx.cvsd 'IANA,[Vaudreuil]
audio/vorbis 'IANA,RFC5215
audio/vorbis-config 'IANA,RFC5215
